datetime,timestamp,open,high,low,close,volume
2025-09-04 16:00:00+00:00,1757001600000,40.45,40.82,40.23,40.65,2767.92
2025-09-04 20:00:00+00:00,1757016000000,40.65,40.99,40.65,40.9,1622.78
2025-09-05 00:00:00+00:00,1757030400000,40.9,41.71,40.85,41.37,2942.4
2025-09-05 04:00:00+00:00,1757044800000,41.37,41.92,41.1,41.84,2166.97
2025-09-05 08:00:00+00:00,1757059200000,41.84,41.95,41.32,41.53,2023.82
2025-09-05 12:00:00+00:00,1757073600000,41.53,41.77,40.66,40.82,3434.46
2025-09-05 16:00:00+00:00,1757088000000,40.82,41.19,40.58,41.19,2072.94
2025-09-05 20:00:00+00:00,1757102400000,41.19,41.55,40.95,41.43,2234.23
2025-09-06 00:00:00+00:00,1757116800000,41.43,41.69,41.04,41.69,2639.06
2025-09-06 04:00:00+00:00,1757131200000,41.69,42.27,41.47,42.25,2087.0
2025-09-06 08:00:00+00:00,1757145600000,42.25,42.67,41.94,42.39,2324.96
2025-09-06 12:00:00+00:00,1757160000000,42.39,42.98,42.32,42.65,2545.95
2025-09-06 16:00:00+00:00,1757174400000,42.65,44.21,42.44,43.94,5126.58
2025-09-06 20:00:00+00:00,1757188800000,43.94,50.22,43.8,47.44,23588.72
2025-09-07 00:00:00+00:00,1757203200000,47.44,47.86,45.61,46.77,9006.26
2025-09-07 04:00:00+00:00,1757217600000,46.77,47.41,46.73,47.33,3628.58
2025-09-07 08:00:00+00:00,1757232000000,47.33,47.51,46.62,47.21,3003.63
2025-09-07 12:00:00+00:00,1757246400000,47.21,48.5,47.01,47.61,7027.66
2025-09-07 16:00:00+00:00,1757260800000,47.61,48.42,47.35,48.37,5417.11
2025-09-07 20:00:00+00:00,1757275200000,48.37,48.48,47.56,48.43,3108.21
2025-09-08 00:00:00+00:00,1757289600000,48.43,52.6,48.05,51.95,13012.06
2025-09-08 04:00:00+00:00,1757304000000,51.95,53.15,48.79,49.21,8755.14
2025-09-08 08:00:00+00:00,1757318400000,49.21,49.31,48.23,48.78,3634.53
2025-09-08 12:00:00+00:00,1757332800000,48.78,50.58,48.51,49.78,11221.4
2025-09-08 16:00:00+00:00,1757347200000,49.78,54.08,49.22,52.18,32322.09
2025-09-08 20:00:00+00:00,1757361600000,52.18,52.27,50.53,50.72,9105.09
2025-09-09 00:00:00+00:00,1757376000000,50.72,51.34,49.47,49.76,3669.62
2025-09-09 04:00:00+00:00,1757390400000,49.76,50.4,49.44,50.29,2900.12
2025-09-09 08:00:00+00:00,1757404800000,50.29,50.93,50.08,50.45,5189.1
2025-09-09 12:00:00+00:00,1757419200000,50.45,50.96,48.98,49.27,5163.96
2025-09-09 16:00:00+00:00,1757433600000,49.27,49.34,48.18,49.18,12515.27
2025-09-09 20:00:00+00:00,1757448000000,49.18,49.31,47.71,48.32,5130.05
2025-09-10 00:00:00+00:00,1757462400000,48.32,49.36,48.0,48.42,7302.32
2025-09-10 04:00:00+00:00,1757476800000,48.42,48.74,48.36,48.73,3035.12
2025-09-10 08:00:00+00:00,1757491200000,48.73,48.74,48.02,48.36,2040.54
2025-09-10 12:00:00+00:00,1757505600000,48.36,49.22,47.87,48.55,3908.26
2025-09-10 16:00:00+00:00,1757520000000,48.55,48.58,47.28,47.46,5513.09
2025-09-10 20:00:00+00:00,1757534400000,47.46,48.26,47.21,47.96,2107.46
2025-09-11 00:00:00+00:00,1757548800000,47.96,47.96,47.28,47.49,2807.07
2025-09-11 04:00:00+00:00,1757563200000,47.49,47.75,47.28,47.53,2234.18
2025-09-11 08:00:00+00:00,1757577600000,47.53,47.88,47.18,47.48,2095.68
2025-09-11 12:00:00+00:00,1757592000000,47.48,48.27,46.71,47.63,3456.16
2025-09-11 16:00:00+00:00,1757606400000,47.63,48.37,47.58,47.82,2969.09
2025-09-11 20:00:00+00:00,1757620800000,47.82,48.48,47.52,47.98,1625.48
2025-09-12 00:00:00+00:00,1757635200000,47.98,48.63,47.79,47.91,4032.96
2025-09-12 04:00:00+00:00,1757649600000,47.91,48.47,47.47,47.87,2406.66
2025-09-12 08:00:00+00:00,1757664000000,47.87,47.96,47.32,47.45,1770.67
2025-09-12 12:00:00+00:00,1757678400000,47.45,49.09,47.36,48.87,3029.03
2025-09-12 16:00:00+00:00,1757692800000,48.87,50.45,47.44,50.31,7148.12
2025-09-12 20:00:00+00:00,1757707200000,50.31,50.33,49.24,49.93,3518.27
2025-09-13 00:00:00+00:00,1757721600000,49.93,49.98,49.16,49.35,1179.35
2025-09-13 04:00:00+00:00,1757736000000,49.35,49.7,48.92,49.7,1841.16
2025-09-13 08:00:00+00:00,1757750400000,49.7,50.54,49.51,50.15,2063.79
2025-09-13 12:00:00+00:00,1757764800000,50.15,51.22,49.27,50.06,5786.42
2025-09-13 16:00:00+00:00,1757779200000,50.06,50.4,49.4,50.37,2895.13
2025-09-13 20:00:00+00:00,1757793600000,50.37,53.12,50.27,52.88,5165.88
2025-09-14 00:00:00+00:00,1757808000000,52.88,54.03,52.61,53.78,9073.4
2025-09-14 04:00:00+00:00,1757822400000,53.78,54.79,53.04,53.15,8796.12
2025-09-14 08:00:00+00:00,1757836800000,53.15,55.37,52.9,53.06,5959.35
2025-09-14 12:00:00+00:00,1757851200000,53.06,53.49,52.12,52.33,4972.39
2025-09-14 16:00:00+00:00,1757865600000,52.33,53.54,52.19,52.83,3748.5
2025-09-14 20:00:00+00:00,1757880000000,52.83,53.18,50.34,50.47,4742.89
2025-09-15 00:00:00+00:00,1757894400000,50.47,51.32,49.72,51.3,3093.72
2025-09-15 04:00:00+00:00,1757908800000,51.3,52.04,50.46,50.66,4117.1
2025-09-15 08:00:00+00:00,1757923200000,50.66,51.24,50.19,51.05,2865.51
2025-09-15 12:00:00+00:00,1757937600000,51.05,51.06,49.05,50.23,7344.32
2025-09-15 16:00:00+00:00,1757952000000,50.23,50.52,49.66,50.06,2492.81
2025-09-15 20:00:00+00:00,1757966400000,50.06,50.75,49.92,50.04,3173.56
2025-09-16 00:00:00+00:00,1757980800000,50.04,50.75,49.64,50.73,2223.3
2025-09-16 04:00:00+00:00,1757995200000,50.73,51.75,50.06,51.75,3681.8
2025-09-16 08:00:00+00:00,1758009600000,51.75,53.43,51.59,51.92,2996.17
2025-09-16 12:00:00+00:00,1758024000000,51.92,52.26,51.21,51.74,3011.28
2025-09-16 16:00:00+00:00,1758038400000,51.74,52.19,51.15,51.86,3136.9
2025-09-16 20:00:00+00:00,1758052800000,51.86,51.87,51.37,51.49,1641.92
2025-09-17 00:00:00+00:00,1758067200000,51.49,52.1,50.75,50.82,2249.44
2025-09-17 04:00:00+00:00,1758081600000,50.82,51.99,50.71,51.88,1312.02
2025-09-17 08:00:00+00:00,1758096000000,51.88,52.45,51.11,51.58,3038.32
2025-09-17 12:00:00+00:00,1758110400000,51.58,52.1,50.52,50.95,2980.53
2025-09-17 16:00:00+00:00,1758124800000,50.95,51.61,50.38,50.89,4487.99
