datetime,timestamp,open,high,low,close,volume
2025-11-25 18:30:00+00:00,1764095400000,497.01,500.3,495.63,497.4,2226.75
2025-11-25 18:45:00+00:00,1764096300000,497.4,498.46,494.14,494.14,1288.77
2025-11-25 19:00:00+00:00,1764097200000,494.14,494.78,488.42,490.8,2599.11
2025-11-25 19:15:00+00:00,1764098100000,490.8,491.21,481.41,485.79,6217.65
2025-11-25 19:30:00+00:00,1764099000000,485.79,491.04,484.03,489.64,4688.93
2025-11-25 19:45:00+00:00,1764099900000,489.64,493.49,486.9,491.25,3438.18
2025-11-25 20:00:00+00:00,1764100800000,491.25,491.94,485.15,489.65,2827.47
2025-11-25 20:15:00+00:00,1764101700000,489.65,496.03,488.88,493.19,1697.39
2025-11-25 20:30:00+00:00,1764102600000,493.19,500.4,491.71,497.34,3210.34
2025-11-25 20:45:00+00:00,1764103500000,497.34,504.08,496.49,499.26,3229.61
2025-11-25 21:00:00+00:00,1764104400000,499.26,502.51,498.99,501.51,1946.28
2025-11-25 21:15:00+00:00,1764105300000,501.51,504.08,500.34,500.59,2649.25
2025-11-25 21:30:00+00:00,1764106200000,500.59,501.45,495.9,500.84,1770.45
2025-11-25 21:45:00+00:00,1764107100000,500.84,501.93,497.38,499.12,947.0
2025-11-25 22:00:00+00:00,1764108000000,499.12,499.12,492.59,493.07,1981.23
2025-11-25 22:15:00+00:00,1764108900000,493.07,500.43,490.78,499.25,2806.07
2025-11-25 22:30:00+00:00,1764109800000,499.25,508.76,497.87,503.67,6595.39
2025-11-25 22:45:00+00:00,1764110700000,503.67,503.88,495.24,499.96,2924.64
2025-11-25 23:00:00+00:00,1764111600000,499.96,502.18,495.23,501.7,2339.6
2025-11-25 23:15:00+00:00,1764112500000,501.7,505.85,500.2,505.76,2012.99
2025-11-25 23:30:00+00:00,1764113400000,505.76,515.13,504.53,511.5,12718.94
2025-11-25 23:45:00+00:00,1764114300000,511.5,515.67,507.27,511.99,7744.01
2025-11-26 00:00:00+00:00,1764115200000,511.99,516.75,511.35,516.0,3209.12
2025-11-26 00:15:00+00:00,1764116100000,516.0,519.0,515.35,517.68,2571.52
2025-11-26 00:30:00+00:00,1764117000000,517.68,520.66,513.88,520.57,2491.06
2025-11-26 00:45:00+00:00,1764117900000,520.57,527.91,514.39,516.18,6679.39
2025-11-26 01:00:00+00:00,1764118800000,516.18,517.0,507.72,512.02,2425.42
2025-11-26 01:15:00+00:00,1764119700000,512.02,516.99,511.08,515.64,1960.64
2025-11-26 01:30:00+00:00,1764120600000,515.64,523.66,514.69,519.08,4022.2
2025-11-26 01:45:00+00:00,1764121500000,519.08,521.52,516.18,517.21,2083.87
2025-11-26 02:00:00+00:00,1764122400000,517.21,520.95,516.94,518.91,1023.65
2025-11-26 02:15:00+00:00,1764123300000,518.91,519.53,516.22,518.04,1602.59
2025-11-26 02:30:00+00:00,1764124200000,518.04,522.03,517.31,520.72,1747.2
2025-11-26 02:45:00+00:00,1764125100000,520.72,529.1,520.04,525.63,5224.73
2025-11-26 03:00:00+00:00,1764126000000,525.63,526.32,521.32,523.47,2521.7
2025-11-26 03:15:00+00:00,1764126900000,523.47,526.58,521.85,522.08,2523.6
2025-11-26 03:30:00+00:00,1764127800000,522.08,522.08,514.68,516.61,3303.19
2025-11-26 03:45:00+00:00,1764128700000,516.61,519.52,515.11,517.9,1525.97
2025-11-26 04:00:00+00:00,1764129600000,517.9,519.8,511.12,511.62,2829.55
2025-11-26 04:15:00+00:00,1764130500000,511.62,515.91,508.45,515.85,4533.28
2025-11-26 04:30:00+00:00,1764131400000,515.85,515.87,509.94,512.02,1950.58
2025-11-26 04:45:00+00:00,1764132300000,512.02,512.99,506.96,508.62,2477.38
2025-11-26 05:00:00+00:00,1764133200000,508.62,510.46,507.25,507.25,1230.5
2025-11-26 05:15:00+00:00,1764134100000,507.25,510.82,506.57,510.8,984.07
2025-11-26 05:30:00+00:00,1764135000000,510.8,512.9,508.68,510.57,1035.14
2025-11-26 05:45:00+00:00,1764135900000,510.57,514.07,508.92,511.73,915.71
2025-11-26 06:00:00+00:00,1764136800000,511.73,514.57,509.43,510.12,1046.31
2025-11-26 06:15:00+00:00,1764137700000,510.12,510.3,505.9,507.19,821.6
2025-11-26 06:30:00+00:00,1764138600000,507.19,507.19,502.92,506.5,2001.42
2025-11-26 06:45:00+00:00,1764139500000,506.5,506.7,497.73,502.94,6596.13
2025-11-26 07:00:00+00:00,1764140400000,502.94,507.46,501.0,506.15,1022.47
2025-11-26 07:15:00+00:00,1764141300000,506.15,507.64,503.73,505.39,554.74
2025-11-26 07:30:00+00:00,1764142200000,505.39,508.51,504.73,504.81,281.05
2025-11-26 07:45:00+00:00,1764143100000,504.81,506.07,502.53,504.58,715.72
2025-11-26 08:00:00+00:00,1764144000000,504.58,507.26,502.17,505.04,829.14
2025-11-26 08:15:00+00:00,1764144900000,505.04,505.51,498.12,500.01,890.93
2025-11-26 08:30:00+00:00,1764145800000,500.01,505.48,499.17,504.72,577.13
2025-11-26 08:45:00+00:00,1764146700000,504.72,506.22,499.89,499.89,1118.15
2025-11-26 09:00:00+00:00,1764147600000,499.89,503.03,499.8,502.98,610.3
2025-11-26 09:15:00+00:00,1764148500000,502.98,503.07,498.2,498.84,800.85
2025-11-26 09:30:00+00:00,1764149400000,498.84,500.06,496.01,498.99,664.11
2025-11-26 09:45:00+00:00,1764150300000,498.99,500.94,497.49,500.91,908.86
2025-11-26 10:00:00+00:00,1764151200000,500.91,503.46,499.73,502.5,582.96
2025-11-26 10:15:00+00:00,1764152100000,502.5,506.82,501.75,504.78,829.43
2025-11-26 10:30:00+00:00,1764153000000,504.78,505.0,499.91,502.13,1249.58
2025-11-26 10:45:00+00:00,1764153900000,502.13,502.15,497.76,498.14,509.49
2025-11-26 11:00:00+00:00,1764154800000,498.14,501.58,497.03,500.47,620.32
2025-11-26 11:15:00+00:00,1764155700000,500.47,500.64,492.65,494.31,919.03
2025-11-26 11:30:00+00:00,1764156600000,494.31,495.79,491.63,495.09,1410.49
2025-11-26 11:45:00+00:00,1764157500000,495.09,496.52,493.93,494.92,1490.97
2025-11-26 12:00:00+00:00,1764158400000,494.92,500.83,493.02,499.64,1355.7
2025-11-26 12:15:00+00:00,1764159300000,499.64,501.15,496.9,498.2,1303.29
2025-11-26 12:30:00+00:00,1764160200000,498.2,498.68,494.42,494.66,796.15
2025-11-26 12:45:00+00:00,1764161100000,494.66,497.64,494.37,496.09,855.42
2025-11-26 13:00:00+00:00,1764162000000,496.09,496.99,493.12,494.31,1084.05
2025-11-26 13:15:00+00:00,1764162900000,494.31,498.83,493.83,497.58,1092.29
2025-11-26 13:30:00+00:00,1764163800000,497.58,510.53,496.17,506.45,1924.47
2025-11-26 13:45:00+00:00,1764164700000,506.45,508.61,503.11,505.41,3700.78
2025-11-26 14:00:00+00:00,1764165600000,505.41,505.43,499.76,503.59,2397.15
2025-11-26 14:15:00+00:00,1764166500000,503.59,508.9,503.07,507.91,2194.42
2025-11-26 14:30:00+00:00,1764167400000,507.91,510.03,502.38,502.84,7219.79
2025-11-26 14:45:00+00:00,1764168300000,502.84,505.15,497.16,498.48,3024.35
2025-11-26 15:00:00+00:00,1764169200000,498.48,505.67,498.36,505.02,1390.22
2025-11-26 15:15:00+00:00,1764170100000,505.02,509.53,502.97,508.65,3218.59
2025-11-26 15:30:00+00:00,1764171000000,508.65,510.34,503.81,504.58,4567.23
2025-11-26 15:45:00+00:00,1764171900000,504.58,504.92,499.32,502.88,4017.75
2025-11-26 16:00:00+00:00,1764172800000,502.88,503.71,500.46,500.96,1028.27
2025-11-26 16:15:00+00:00,1764173700000,500.96,511.54,500.87,507.64,4611.11
2025-11-26 16:30:00+00:00,1764174600000,507.64,518.54,506.39,516.07,6015.26
2025-11-26 16:45:00+00:00,1764175500000,516.07,520.33,510.79,514.18,6082.83
2025-11-26 17:00:00+00:00,1764176400000,514.18,515.17,511.18,511.79,1702.12
2025-11-26 17:15:00+00:00,1764177300000,511.79,521.74,510.07,519.85,3397.84
2025-11-26 17:30:00+00:00,1764178200000,519.85,522.61,518.78,520.6,3615.83
2025-11-26 17:45:00+00:00,1764179100000,520.6,526.21,519.13,524.03,7159.47
2025-11-26 18:00:00+00:00,1764180000000,524.03,526.27,517.29,521.45,3209.31
2025-11-26 18:15:00+00:00,1764180900000,521.45,523.35,517.41,521.62,3172.26
2025-11-26 18:30:00+00:00,1764181800000,521.62,521.85,517.93,518.24,2544.52
2025-11-26 18:45:00+00:00,1764182700000,518.24,519.1,514.21,516.74,4122.81
2025-11-26 19:00:00+00:00,1764183600000,517.51,518.72,515.41,516.3,1549.46
2025-11-26 19:15:00+00:00,1764184500000,516.3,520.18,515.33,516.1,1843.72
2025-11-26 19:30:00+00:00,1764185400000,516.1,516.49,511.46,513.91,1927.18
2025-11-26 19:45:00+00:00,1764186300000,513.91,515.11,512.22,513.74,862.49
2025-11-26 20:00:00+00:00,1764187200000,513.74,514.93,511.46,514.07,1395.08
2025-11-26 20:15:00+00:00,1764188100000,514.07,524.6,514.07,522.95,4342.56
2025-11-26 20:30:00+00:00,1764189000000,522.95,523.69,519.29,519.94,1675.37
2025-11-26 20:45:00+00:00,1764189900000,519.94,522.62,519.93,520.77,1318.99
2025-11-26 21:00:00+00:00,1764190800000,520.77,522.76,517.78,522.67,909.41
2025-11-26 21:15:00+00:00,1764191700000,522.67,524.5,518.58,520.81,1839.12
2025-11-26 21:30:00+00:00,1764192600000,520.81,522.89,515.6,519.63,2851.06
2025-11-26 21:45:00+00:00,1764193500000,519.63,528.2,519.63,525.38,3392.15
2025-11-26 22:00:00+00:00,1764194400000,525.51,526.17,519.34,523.3,2186.66
2025-11-26 22:15:00+00:00,1764195300000,523.3,535.48,523.3,527.91,6334.76
2025-11-26 22:30:00+00:00,1764196200000,527.91,532.6,527.83,529.07,2503.18
2025-11-26 22:45:00+00:00,1764197100000,529.07,534.57,525.09,530.75,2387.42
2025-11-26 23:00:00+00:00,1764198000000,530.75,532.62,529.47,532.03,1895.04
2025-11-26 23:15:00+00:00,1764198900000,532.03,534.0,528.44,530.11,6971.6
2025-11-26 23:30:00+00:00,1764199800000,530.11,531.2,528.14,529.49,2838.18
2025-11-26 23:45:00+00:00,1764200700000,529.49,529.97,524.79,527.56,1604.2
2025-11-27 00:00:00+00:00,1764201600000,527.56,529.9,524.63,526.24,1475.5
2025-11-27 00:15:00+00:00,1764202500000,526.24,526.87,520.97,521.74,2535.71
2025-11-27 00:30:00+00:00,1764203400000,521.74,530.82,521.74,530.44,1116.44
2025-11-27 00:45:00+00:00,1764204300000,530.44,534.26,527.11,527.64,1518.15
2025-11-27 01:00:00+00:00,1764205200000,527.64,532.23,527.42,529.72,744.48
2025-11-27 01:15:00+00:00,1764206100000,529.72,531.77,515.51,527.78,6311.63
2025-11-27 01:30:00+00:00,1764207000000,527.78,528.11,523.76,527.63,1334.94
2025-11-27 01:45:00+00:00,1764207900000,527.63,529.78,526.01,529.56,1018.73
2025-11-27 02:00:00+00:00,1764208800000,529.56,534.18,528.29,533.93,3344.13
2025-11-27 02:15:00+00:00,1764209700000,533.93,549.24,532.25,549.04,7776.13
2025-11-27 02:30:00+00:00,1764210600000,549.04,549.04,532.16,535.29,10320.31
2025-11-27 02:45:00+00:00,1764211500000,535.29,535.68,527.5,531.08,3995.87
2025-11-27 03:00:00+00:00,1764212400000,531.08,531.9,524.63,526.48,2408.52
2025-11-27 03:15:00+00:00,1764213300000,526.48,528.54,525.12,526.46,2232.51
2025-11-27 03:30:00+00:00,1764214200000,526.46,528.31,519.47,520.3,3622.12
2025-11-27 03:45:00+00:00,1764215100000,520.3,520.42,517.84,518.51,1257.71
